SNo.,Origin id,Destination id,Mean time,Standard deviation Time,Geometric mean time,Standard geometric mean time
3183,81,106,3185.77,711.6,3106.4,1.25
3184,81,72,2242.56,548.24,2180.55,1.26
3185,81,180,2349.36,513.35,2301.23,1.22
3186,81,1,2496.65,657.1,2426.18,1.26
3187,81,146,2921.26,618.84,2860.08,1.23
3188,81,47,1414.21,318.47,1381.75,1.24
3189,81,185,3667.37,867.57,3566.91,1.27
3190,81,159,2998.17,753.3,2912.74,1.27
3191,81,171,1348.22,420.25,1296.79,1.31
3192,81,45,2906.4,731.91,2818.32,1.28
3193,81,34,3070.08,392.01,3045.68,1.13
3194,81,136,2653.7,626.84,2581.36,1.27
3195,81,174,1967.47,456.33,1923.14,1.23
3196,81,69,975.24,316.21,935.08,1.32
3197,81,84,2356.52,606.48,2285.68,1.28
3198,81,144,3145.42,711.73,3072.64,1.24
3199,81,96,988.04,385.6,929.55,1.4
3200,81,149,2947.97,705.55,2877.65,1.24
3201,81,192,2165.09,500.53,2111.36,1.25
3202,81,91,754.05,456.91,630.12,1.91
3203,81,180,4697.71,971.44,4573.67,1.29
3204,81,129,1824.3,689.64,1727.32,1.37
3205,81,102,2863.25,784.7,2766.62,1.3
3206,81,15,2532.22,620.43,2462.96,1.27
3207,81,131,1111.67,417.02,1054.47,1.36
3208,81,138,2128.46,572.93,2058.07,1.29
3209,81,94,1672.09,602.52,1570.52,1.43
3210,81,118,2571.8,762.93,2473.86,1.31
3211,81,47,2796.88,570.34,2745.61,1.21
3212,81,193,2600.8,591.2,2538.41,1.24
3213,81,109,3691.44,689.51,3628.46,1.2
3214,81,2,2339.57,583.64,2277.19,1.25
3215,81,18,4018.71,842.85,3929.42,1.24
3216,81,33,2475.0,454.11,2433.07,1.2
3217,81,34,2236.95,511.07,2183.83,1.24
3218,81,194,1822.28,640.9,1723.01,1.39
3219,81,162,1244.11,275.27,1217.51,1.22
3220,81,79,773.43,426.97,690.97,1.58
3221,81,176,2320.23,662.2,2228.65,1.33
3222,81,165,1467.2,535.54,1389.35,1.38
3223,81,140,2223.04,587.71,2153.27,1.28
3224,81,47,1691.76,412.45,1648.3,1.25
3225,81,171,1301.03,437.85,1244.42,1.33
3226,81,180,3798.57,679.66,3739.91,1.19
3227,81,62,3142.46,781.36,3049.79,1.28
3228,81,100,2262.34,511.61,2205.59,1.25
3229,81,104,1622.8,291.07,1599.17,1.18
3230,81,114,3820.71,892.33,3716.48,1.27
3231,81,73,1252.58,658.81,1145.42,1.47
3232,81,163,2328.11,540.48,2269.08,1.25
3233,81,115,2031.28,605.65,1959.4,1.29
3234,81,12,2743.69,517.1,2700.52,1.19
3235,81,188,1646.69,243.74,1629.41,1.16
3236,81,41,2007.51,426.37,1965.14,1.23
3237,81,184,2324.1,409.9,2290.89,1.18
3238,81,27,4164.33,1427.88,3805.04,1.67
3239,81,133,1336.49,453.84,1277.2,1.33
3240,81,60,1529.97,352.01,1491.73,1.25
3241,81,151,2269.13,568.95,2210.16,1.25
3242,81,118,2799.37,660.27,2725.25,1.26
3243,81,161,1207.17,446.86,1133.33,1.45
3244,81,196,963.28,333.93,915.42,1.36
3245,81,54,2616.0,648.85,2544.13,1.26
3246,81,150,1176.22,356.86,1126.67,1.33
3247,81,64,1059.24,338.27,1018.6,1.3
3248,81,160,2019.2,736.78,1887.05,1.46
3249,81,176,1261.65,387.63,1213.96,1.31
3250,81,139,1723.83,501.27,1662.21,1.3
3251,81,88,1241.37,383.3,1190.53,1.33
3252,81,149,2176.15,793.75,2082.85,1.31
3253,81,127,3273.81,1156.07,3089.64,1.4
3254,81,92,1348.5,444.54,1286.4,1.35
3255,81,124,2753.09,804.95,2634.13,1.35
3256,81,116,2151.29,591.05,2083.75,1.28
3257,81,2,4249.97,940.99,4146.0,1.25
3258,81,74,1715.56,666.15,1609.17,1.42
3259,81,100,2335.07,760.76,2218.98,1.38
3260,81,101,1196.92,491.13,1120.39,1.41
3261,81,74,1015.19,351.77,966.91,1.35
3262,81,197,607.13,335.17,549.64,1.52
3263,81,2,4688.92,1017.87,4577.53,1.25
3264,81,125,3053.76,775.99,2952.75,1.3
3265,81,124,1310.55,432.49,1251.43,1.34
3266,81,51,2330.66,432.31,2293.7,1.19
3267,81,57,2343.65,427.73,2307.46,1.19
3268,81,111,3907.75,868.01,3819.86,1.23
3269,81,149,2971.0,635.31,2904.59,1.24
3270,81,140,2112.44,688.22,2016.55,1.35
3271,81,120,3155.5,536.06,3107.99,1.19
3272,81,33,3091.0,471.57,3056.57,1.16
3273,81,51,1991.74,463.47,1946.3,1.23
3274,81,17,2457.9,489.95,2413.24,1.21
3275,81,67,1789.54,448.12,1748.0,1.23
3276,81,187,1656.85,560.07,1586.79,1.32
3277,81,28,4642.33,813.37,4571.92,1.19
3278,81,80,535.66,356.78,418.7,2.22
3279,81,168,1832.02,514.31,1768.35,1.3
3280,81,87,1886.34,500.61,1828.65,1.28
3281,81,192,3549.53,665.32,3468.8,1.27
3282,81,45,1305.76,449.95,1252.27,1.31
3283,81,73,1736.99,411.84,1695.12,1.24
3284,81,147,2467.12,754.74,2380.32,1.29
3285,81,107,1675.11,337.89,1641.59,1.22
3286,81,84,2110.24,485.05,2060.59,1.24
3287,81,121,3326.15,1026.46,3181.3,1.34
3288,81,7,2189.47,772.38,2068.86,1.4
3289,81,8,1003.82,365.69,957.11,1.34
3290,81,120,3521.66,660.87,3457.78,1.21
3291,81,186,1874.3,424.75,1831.63,1.23
3292,81,4,740.64,315.86,689.1,1.44
3293,81,163,2410.91,584.16,2348.88,1.25
3294,81,75,170.05,153.66,123.34,2.3
3295,81,131,2327.69,695.55,2231.03,1.34
3296,81,35,4010.0,607.05,3959.69,1.18
3297,81,108,3616.26,892.76,3509.54,1.28
3298,81,150,1352.78,570.34,1275.0,1.38
3299,81,172,1882.54,518.06,1817.68,1.3
3300,81,44,3743.73,562.76,3700.87,1.16
3301,81,76,867.79,307.28,820.85,1.4
3302,81,169,1344.89,442.92,1284.66,1.34
3303,81,13,3627.7,873.14,3527.97,1.27
3304,81,169,2644.82,835.32,2531.33,1.34
3305,81,192,3250.29,598.48,3200.97,1.19
3306,81,152,2973.17,589.59,2918.49,1.21
3307,81,59,1307.33,330.59,1272.17,1.25
3308,81,198,4094.78,1031.46,3949.31,1.33
3309,81,121,1761.79,518.67,1690.26,1.33
3310,81,165,730.12,270.71,692.88,1.36
3311,81,127,2214.34,500.21,2163.74,1.23
3312,81,62,1626.36,390.94,1578.94,1.28
3313,81,162,1542.27,430.14,1494.44,1.27
3314,81,67,2100.92,491.87,2048.81,1.25
3315,81,185,4021.04,1169.02,3869.84,1.31
3316,81,49,2758.66,694.44,2668.96,1.3
3317,81,83,1835.54,350.97,1805.23,1.2
3318,81,86,923.65,307.41,885.8,1.32
3319,81,52,2562.13,781.69,2466.17,1.3
3320,81,30,4565.81,1437.05,4315.19,1.43
3321,81,178,1790.57,522.87,1731.62,1.28
3322,81,38,3837.29,585.41,3794.57,1.16
3323,81,156,1253.9,691.51,1065.74,1.82
3324,81,46,3055.11,648.69,2990.71,1.23
3325,81,195,1840.35,451.35,1790.7,1.26
3326,81,134,1887.61,645.59,1800.73,1.35
3327,81,144,2016.14,580.84,1942.87,1.3
3328,81,123,1578.98,554.6,1498.88,1.37
3329,81,61,2310.66,403.23,2277.86,1.18
3330,81,9,622.23,312.56,566.41,1.51
3331,81,31,3176.67,725.79,3100.77,1.24
3332,81,156,1103.29,537.61,984.7,1.62
3333,81,166,642.65,529.11,457.49,2.32
3334,81,72,2135.93,363.78,2101.83,1.2
3335,81,38,2151.61,363.44,2122.51,1.18
3336,81,169,2459.28,729.41,2363.41,1.34
3337,81,66,1673.52,442.95,1620.63,1.29
3338,81,60,1413.89,171.48,1403.7,1.13
3339,81,161,2375.96,619.99,2298.0,1.3
3340,81,74,839.65,298.01,798.16,1.36
3341,81,148,2186.48,479.53,2136.65,1.24
3342,81,125,3252.38,980.82,3108.56,1.36
3343,81,106,1527.79,389.04,1483.09,1.27
3344,81,9,861.82,423.15,779.21,1.55
3345,81,65,1867.76,567.55,1794.23,1.32
3346,81,20,2830.22,895.24,2560.81,1.71
3347,81,57,1228.0,273.41,1204.61,1.2
3348,81,131,1118.79,403.7,1059.48,1.37
3349,81,177,2052.19,583.27,1975.42,1.32
3350,81,14,1308.26,383.32,1263.09,1.29
3351,81,131,2212.37,586.51,2136.98,1.3
3352,81,52,1539.25,392.76,1490.59,1.29
3353,81,80,378.08,233.59,308.47,2.07
3354,81,162,1393.61,381.93,1347.48,1.29
3355,81,31,4013.57,1004.03,3903.14,1.26
3356,81,20,2706.47,405.23,2678.57,1.15
3357,81,13,3241.83,826.81,3145.4,1.28
3358,81,74,1381.11,472.33,1311.19,1.37
3359,81,177,3227.67,1060.62,3046.14,1.42
3360,81,153,2567.94,512.58,2516.69,1.22
3361,81,20,4478.58,923.42,4390.46,1.22
3362,81,85,890.87,389.07,833.08,1.42
3363,81,140,1073.42,332.1,1026.83,1.34
3364,81,188,3247.6,743.73,3168.74,1.24
3365,81,132,2249.31,614.99,2172.03,1.3
3366,81,109,3282.44,935.67,3169.05,1.29
3367,81,83,1138.76,384.82,1081.9,1.37
3368,81,85,717.54,391.37,641.29,1.58
3369,81,103,3040.15,506.58,3001.3,1.17
3370,81,172,1111.65,410.22,1051.23,1.38
3371,81,196,936.51,323.85,893.02,1.34
3372,81,156,559.75,255.66,519.39,1.45
3373,81,75,248.91,209.88,183.48,2.33
3374,81,61,1623.36,321.55,1595.19,1.2
3375,81,177,1321.59,579.05,1241.83,1.39
3376,81,156,507.46,283.7,447.54,1.66
3377,81,131,1484.28,488.64,1417.3,1.34
3378,81,192,3715.61,731.59,3648.36,1.21
3379,81,198,3043.13,613.57,2984.2,1.22
3380,81,157,661.55,315.56,603.91,1.52
3381,81,125,1579.94,393.5,1535.77,1.26
3382,81,75,284.94,221.64,216.48,2.25
3383,81,18,3213.64,630.68,3160.13,1.19
3384,81,123,2249.7,690.65,2154.67,1.34
3385,81,132,1239.01,432.46,1180.55,1.35
3386,81,61,1493.71,363.12,1451.29,1.27
3387,81,187,2402.04,667.34,2298.63,1.38
3388,81,173,4646.52,1158.61,4464.79,1.36
3389,81,162,2450.42,571.06,2390.72,1.24
3390,81,184,3780.67,781.89,3703.19,1.23
3391,81,70,1549.21,406.42,1501.33,1.28
3392,81,133,1337.27,569.36,1266.79,1.36
3393,81,92,1069.44,372.88,1016.56,1.37
3394,81,86,1731.19,503.8,1666.8,1.31
3395,81,88,1456.98,367.9,1415.85,1.27
3396,81,60,1945.47,373.16,1909.88,1.21
3397,81,49,1505.34,406.61,1457.29,1.28
3398,81,196,931.95,332.18,884.98,1.36
3399,81,61,2875.38,647.33,2809.42,1.24
3400,81,13,2812.53,580.24,2760.7,1.21
3401,81,52,2565.3,648.25,2500.04,1.24
3402,81,23,2029.55,516.94,1971.8,1.26
3403,81,135,2171.3,677.59,2067.75,1.37
3404,81,152,4709.84,1213.27,4552.41,1.3
3405,81,153,3593.5,589.79,3546.05,1.18
3406,81,30,3296.69,771.99,3187.39,1.32
3407,81,143,3460.83,1117.35,3290.21,1.38
3408,81,17,3078.56,728.39,2996.9,1.26
3409,81,99,2960.44,673.38,2890.09,1.24
3410,81,139,2128.09,688.58,2026.92,1.37
3411,81,73,1174.45,294.69,1143.01,1.25
3412,81,63,1985.41,349.02,1954.76,1.19
3413,81,155,966.93,405.66,893.85,1.48
3414,81,157,1051.43,341.81,1006.81,1.33
3415,81,184,2109.73,435.78,2068.74,1.21
3416,81,141,2734.24,620.09,2667.87,1.25
3417,81,184,1912.94,565.97,1847.63,1.28
3418,81,32,4259.07,1115.6,4142.52,1.25
3419,81,130,1245.84,486.09,1157.5,1.46
3420,81,20,2335.14,688.6,2199.19,1.46
3421,81,120,2700.66,626.75,2638.05,1.23
3422,81,25,3139.47,606.27,3086.82,1.2
3423,81,104,2180.4,711.84,2071.09,1.38
3424,81,81,296.46,307.72,203.39,2.43
3425,81,135,2054.66,672.58,1965.75,1.34
3426,81,149,3067.51,814.84,2962.84,1.3
3427,81,95,430.43,302.49,354.81,1.85
3428,81,28,4164.67,971.93,4062.45,1.24
3429,81,16,2529.24,545.81,2475.56,1.23
3430,81,76,1121.22,462.44,1036.33,1.49
3431,81,158,1012.66,392.02,955.47,1.39
3432,81,110,2081.65,337.16,2054.9,1.17
3433,81,186,2903.61,629.74,2847.46,1.21
3434,81,109,3218.61,524.67,3178.05,1.17
3435,81,104,3631.38,784.28,3551.04,1.23
3436,81,73,1194.74,497.92,1114.77,1.45
3437,81,70,1505.67,432.23,1451.35,1.3
3438,81,163,1159.56,230.71,1138.53,1.21
3439,81,17,3177.32,654.21,3109.62,1.23
3440,81,166,841.31,823.54,546.21,2.55
3441,81,83,1527.29,304.27,1499.63,1.21
3442,81,10,314.64,196.44,267.21,1.82
3443,81,119,1595.91,264.7,1575.22,1.17
3444,81,127,2571.8,508.64,2524.14,1.21
3445,81,101,1711.46,396.36,1668.88,1.25
3446,81,19,3838.56,575.05,3791.9,1.17
3447,81,176,2069.09,722.64,1963.8,1.37
3448,81,74,1201.04,548.88,1111.98,1.45
3449,81,188,3506.54,824.33,3414.43,1.26
3450,81,24,2887.26,674.82,2813.17,1.25
3451,81,143,2131.44,492.56,2080.52,1.24
3452,81,27,4141.13,1035.04,4024.56,1.27
3453,81,64,1078.57,607.33,990.51,1.45
3454,81,40,3107.57,697.28,3036.61,1.24
3455,81,47,2843.64,620.01,2790.49,1.21
3456,81,4,833.91,384.82,763.48,1.5
3457,81,145,2245.27,555.49,2190.23,1.24
3458,81,39,3343.45,901.51,3257.29,1.24
3459,81,148,3195.97,797.94,3093.08,1.3
3460,81,184,2768.0,800.01,2674.47,1.29
3461,81,53,2120.56,450.96,2078.98,1.21
3462,81,172,1809.71,536.68,1734.11,1.35
3463,81,183,3880.64,1048.74,3745.67,1.3
3464,81,19,2400.5,768.07,2294.69,1.34
3465,81,108,2809.75,710.57,2731.33,1.26
3466,81,148,3219.59,822.29,3116.98,1.29
3467,81,3,3178.03,579.29,3128.1,1.19
3468,81,167,2023.16,587.98,1947.07,1.31
3469,81,65,1914.4,399.78,1875.66,1.22
3470,81,145,2136.87,443.88,2093.63,1.22
3471,81,148,2999.88,641.86,2937.66,1.22
3472,81,53,3121.75,790.64,3024.23,1.29
3473,81,197,684.96,281.25,644.21,1.39
3474,81,105,3003.32,679.24,2926.46,1.26
3475,81,148,3239.0,657.38,3171.49,1.23
3476,81,123,3680.0,1000.84,3534.19,1.34
3477,81,83,1872.73,524.02,1814.34,1.27
3478,81,155,890.41,440.23,819.96,1.46
3479,81,136,3170.98,786.51,3071.79,1.29
3480,81,6,1457.81,441.13,1400.62,1.32
3481,81,140,1200.88,393.11,1153.08,1.31
3482,81,23,3602.17,963.74,3449.1,1.38
3483,81,111,2271.29,334.86,2246.38,1.16
3484,81,144,2602.66,535.81,2551.87,1.22
3485,81,68,1655.19,418.57,1609.7,1.26
3486,81,141,3438.56,857.94,3326.29,1.3
3487,81,191,1992.41,499.65,1939.52,1.25
3488,81,56,1378.3,293.38,1353.11,1.2
3489,81,76,1158.46,431.0,1084.7,1.44
3490,81,41,1849.19,435.4,1803.95,1.24
3491,81,61,2501.13,711.9,2405.74,1.32
3492,81,159,1695.0,398.32,1653.04,1.25
3493,81,55,2763.92,721.99,2694.35,1.24
3494,81,167,1462.75,429.39,1408.54,1.31
3495,81,40,3081.68,650.29,3025.88,1.2
3496,81,197,958.55,313.0,916.51,1.34
3497,81,53,1882.08,419.75,1840.44,1.23
3498,81,137,2077.74,589.84,2000.44,1.32
3499,81,20,3289.14,318.87,3273.28,1.1
3500,81,187,1667.63,569.48,1581.81,1.38
3501,81,97,2853.69,590.14,2798.44,1.21
3502,81,67,2469.65,711.83,2373.0,1.33
3503,81,129,1567.43,504.29,1490.77,1.37
3504,81,91,423.14,302.85,338.15,2.0
3505,81,175,2286.22,571.54,2224.31,1.26
3506,81,137,2806.98,892.73,2667.89,1.38
3507,81,166,440.7,374.82,312.8,2.37
3508,81,148,1564.74,240.7,1544.9,1.18
3509,81,112,2073.75,1133.78,1879.48,1.49
3510,81,176,1584.72,521.15,1518.14,1.33
3511,81,170,1032.41,436.64,957.4,1.46
3512,81,157,627.21,274.87,583.32,1.44
3513,81,115,4006.9,595.88,3960.3,1.17
3514,81,74,866.88,449.25,798.42,1.47
3515,81,176,1315.91,447.13,1254.54,1.35
3516,81,198,1994.29,470.03,1942.69,1.25
3517,81,168,1402.88,338.67,1368.14,1.24
3518,81,35,3979.94,1103.51,3840.0,1.3
3519,81,186,3292.5,853.55,3192.41,1.28
3520,81,173,1831.11,536.39,1764.74,1.3
3521,81,95,393.37,267.64,329.79,1.79
3522,81,148,1745.78,606.74,1659.76,1.36
3523,81,101,1422.46,346.02,1383.96,1.26
3524,81,83,1864.46,362.76,1834.11,1.19
3525,81,143,2491.73,591.7,2424.11,1.27
3526,81,132,2534.04,793.75,2417.17,1.36
3527,81,59,2318.32,591.02,2254.14,1.27
3528,81,162,2238.45,561.66,2177.75,1.26
3529,81,67,1302.66,371.03,1258.62,1.29
3530,81,126,1386.46,358.78,1343.98,1.28
3531,81,7,1554.05,453.17,1494.35,1.32
3532,81,173,2979.55,646.8,2914.58,1.23
3533,81,195,1075.51,344.85,1032.99,1.31
3534,81,122,1560.88,224.72,1543.9,1.16
3535,81,10,469.31,228.24,414.13,1.76
3536,81,12,3504.43,776.2,3418.75,1.25
3537,81,47,2743.59,529.72,2696.86,1.2
3538,81,138,1602.2,532.66,1530.04,1.34
3539,81,26,2509.61,561.06,2453.31,1.23
3540,81,184,3278.33,619.99,3222.2,1.2
3541,81,108,2778.9,620.24,2717.26,1.23
3542,81,192,2636.8,514.18,2589.77,1.21
3543,81,82,1228.09,444.52,1165.31,1.38
3544,81,112,1666.29,501.42,1603.79,1.3
3545,81,105,2202.31,443.17,2161.81,1.21
3546,81,6,2638.34,638.52,2566.79,1.26
3547,81,88,1212.09,413.07,1166.26,1.3
3548,81,161,1300.77,394.27,1254.68,1.29
3549,81,167,2283.12,730.08,2177.99,1.36
3550,81,171,1838.21,635.89,1738.43,1.39
3551,81,131,2124.46,598.0,2044.67,1.32
3552,81,92,1235.09,397.49,1178.12,1.35
3553,81,11,2752.09,584.8,2692.11,1.24
